날짜,지점,강수량(mm)
2022.6.1,108,
2022.6.2,108,
2022.6.3,108,
2022.6.4,108,
2022.6.5,108,0
2022.6.6,108,4.3
2022.6.7,108,0
2022.6.8,108,
2022.6.9,108,2.6
2022.6.10,108,1.2
2022.6.11,108,
2022.6.12,108,
2022.6.13,108,18
2022.6.14,108,0
2022.6.15,108,18.5
2022.6.16,108,0.7
2022.6.17,108,
2022.6.18,108,0
2022.6.19,108,
2022.6.20,108,
2022.6.21,108,
2022.6.22,108,
2022.6.23,108,103
2022.6.24,108,19.1
2022.6.25,108,
2022.6.26,108,
2022.6.27,108,6.1
2022.6.28,108,6.3
2022.6.29,108,37.8
2022.6.30,108,176.2
2022.7.1,108,
2022.7.2,108,
2022.7.3,108,
2022.7.4,108,0
2022.7.5,108,0
2022.7.6,108,16.1
2022.7.7,108,0
2022.7.8,108,1.7
2022.7.9,108,0.1
2022.7.10,108,0
2022.7.11,108,9
2022.7.12,108,
2022.7.13,108,114.5
2022.7.14,108,0.9
2022.7.15,108,
2022.7.16,108,34
2022.7.17,108,0
2022.7.18,108,
2022.7.19,108,
2022.7.20,108,1.1
2022.7.21,108,10.4
2022.7.22,108,5.2
2022.7.23,108,9.9
2022.7.24,108,1.2
2022.7.25,108,
2022.7.26,108,
2022.7.27,108,
2022.7.28,108,
2022.7.29,108,
2022.7.30,108,1
2022.7.31,108,47.2
2022.8.1,108,30
2022.8.2,108,33.5
2022.8.3,108,51.1
2022.8.4,108,0
2022.8.5,108,0
2022.8.6,108,13.6
2022.8.7,108,0.9
2022.8.8,108,129.6
2022.8.9,108,123.1
2022.8.10,108,7.6
2022.8.11,108,38.8
2022.8.12,108,
2022.8.13,108,4
2022.8.14,108,3
2022.8.15,108,0.9
2022.8.16,108,0
2022.8.17,108,0
2022.8.18,108,
2022.8.19,108,66.1
2022.8.20,108,0
2022.8.21,108,
2022.8.22,108,3.2
2022.8.23,108,2.2
2022.8.24,108,
2022.8.25,108,1.6
2022.8.26,108,
2022.8.27,108,17.6
2022.8.28,108,
2022.8.29,108,2.2
2022.8.30,108,35.8
2022.8.31,108,0
2022.9.1,108,
2022.9.2,108,
2022.9.3,108,
2022.9.4,108,33.8
2022.9.5,108,120
2022.9.6,108,25.3
2022.9.7,108,
2022.9.8,108,
2022.9.9,108,
2022.9.10,108,
2022.9.11,108,0.1
2022.9.12,108,
2022.9.13,108,0
2022.9.14,108,0
2022.9.15,108,0.1
2022.9.16,108,14.6
2022.9.17,108,4.3
2022.9.18,108,
2022.9.19,108,
2022.9.20,108,
