ta_20230707152123,,,,
³¯Â¥,ÁöÁ¡,Æò±Õ±â¿Â(¡É),ÃÖÀú±â¿Â(¡É),ÃÖ°í±â¿Â(¡É)
2023-01-01,108,-0.2,-4.3,3.8
2023-01-02,108,-4.5,-7.4,-0.4
2023-01-03,108,-5,-9,0.6
2023-01-04,108,-1.8,-5.7,3.3
2023-01-05,108,-1.6,-5.6,3.6
2023-01-06,108,0.6,-4.7,5.7
2023-01-07,108,1.5,-1.4,3.8
2023-01-08,108,1.3,-3.7,6.3
2023-01-09,108,3.1,-1.3,7
2023-01-10,108,1.6,-3.9,9.1
2023-01-11,108,2.6,-2,9.2
2023-01-12,108,5.9,-0.6,12.5
2023-01-13,108,8.3,5.1,10.1
2023-01-14,108,6.6,3.8,8.4
2023-01-15,108,-0.2,-3.5,3.8
2023-01-16,108,-4.6,-6.8,-1.2
2023-01-17,108,-3.7,-7,-0.4
2023-01-18,108,-1.9,-4.6,2.2
2023-01-19,108,-0.4,-6,4.3
2023-01-20,108,-3.3,-7.7,2
2023-01-21,108,-4.5,-10.5,1.5
2023-01-22,108,-0.6,-2.8,2.6
2023-01-23,108,-0.8,-6.9,4.6
2023-01-24,108,-14.7,-17,-6.9
2023-01-25,108,-11.3,-17.3,-5.4
2023-01-26,108,-6,-9,-3.5
2023-01-27,108,-7.3,-9.6,-3.8
2023-01-28,108,-6,-11.2,-0.6
2023-01-29,108,-1.8,-8,4.9
2023-01-30,108,-0.9,-4.4,4.2
2023-01-31,108,2.4,-3.5,7.8
2023-02-01,108,0.9,-3,6
2023-02-02,108,-2.4,-5.1,1.4
2023-02-03,108,-1.6,-3.9,3.4
2023-02-04,108,-0.2,-5.2,6
2023-02-05,108,1.7,-3.3,7.1
2023-02-06,108,3,-1.7,8.8
2023-02-07,108,3.5,-0.6,9.5
2023-02-08,108,2.1,-1.3,7.8
2023-02-09,108,4,-2.8,9.9
2023-02-10,108,3.8,1.1,6.2
2023-02-11,108,2.8,-1.2,8.5
2023-02-12,108,3.7,-0.9,7.6
2023-02-13,108,5.9,2.7,8.4
2023-02-14,108,1.7,-2.5,6.6
2023-02-15,108,3.2,-1.2,8.9
2023-02-16,108,2.3,-0.7,4.5
2023-02-17,108,3.4,-1.5,9.8
2023-02-18,108,5.7,3,8.1
2023-02-19,108,3.5,0.2,6.1
2023-02-20,108,-0.5,-3.5,2.4
2023-02-21,108,-1.3,-5.3,4.8
2023-02-22,108,1.2,-4.5,8.4
2023-02-23,108,2.9,-1.8,9.2
2023-02-24,108,3.5,-0.4,8.5
2023-02-25,108,0.7,-2.9,5.7
2023-02-26,108,2.2,-3.4,9.4
2023-02-27,108,4.4,-1.8,12.4
2023-02-28,108,4.3,-0.7,8.7
2023-03-01,108,6,2.9,9
2023-03-02,108,2.2,-1.8,6.6
2023-03-03,108,4.6,-1.9,10.4
2023-03-04,108,7.7,3.7,14.1
2023-03-05,108,8,2.5,15.4
2023-03-06,108,9.2,2.2,16.5
